car_id   year  make        model           score  rank
-------  ----  ----------  --------------  -----  ----
216      2007  Chrystler   300             96     1   
228      2010  Nissan      370             92     2   
175      2006  Honda       Civic           92     2   
126      2010  Volkswagen  Eos             92     2   
13       2016  Honda       Civic 1.5t      92     2   
127      2013  Acura       Tsx             86     6   
63       2010  Honda       Civic           86     6   
161      2012  Nissan      370z            84     8   
3        2011  Nissan      370             84     8   
180      2011  Volkswagen  Gti             82     10  
57       2015  Scion       Frs             80     11  
184      2010  Volkswagen  Cc              8      12  
42       2001  Dodge       Viper           8      12  
28       1995  Bmw         318xi           8      12  
185      2013  Volkswagen  Jett            8      12  
74       2015  Honda       Accord          8      12  
69       2018  Subaru      WRX             8      12  
86       1996  Volkswagen  Jetta           8      12  
25       2012  Mercedes    C250            78     19  
106      2007  Acura       Tl type s       78     19  
36       2016  Subaru      WRX             74     21  
178      2009  Honda       Oddesy          72     22  
39       2011  Honda       Civic           72     22  
103      2010  Acura       Tsx             72     22  
84       2012  Mercedes    Cl63amg         70     25  
33       2015  Subaru      Sti             68     26  
30       2012  Hyundai     Celoster        66     27  
123      2006  Lexus       Sc430           66     27  
1051     2006  Acura       Tsx             66     27  
218      2010  Chevy       Camaro          64     30  
41       2012  Acura       Tsx             64     30  
158      2007  Nissan      350z            64     30  
48       2015  Acura       TLX             62     33  
21       2009  Subaru      WRX             62     33  
23       1998  Subaru      Legacy          62     33  
12       1990  Nissan      240             62     33  
38       2017  Hyundai     Elantra sport   62     33  
35       2016  Honda       Civic           60     38  
53       2013  Subaru      WRX             60     38  
1        2012  Subaru      WRX             6      40  
75       2012  Subaru      WRX             6      40  
212      2001  Lexus       Is300           6      40  
40       2007  Subaru      Legacy          6      40  
71       2008  Acura       TL              6      40  
64       2004  Subaru      Forester        6      40  
142      1993  Toyota      Supra           58     46  
110      2011  Toyota      Camry           58     46  
156      2014  Volkswagen  Gli             56     48  
115      2001  Honda       Crv             56     48  
43       2011  Toyota      4 Runner        54     50  
37       2015  Subaru      Sti             54     50  
137      2017  Ford        Focus rs        54     50  
6        2016  Volkswagen  Golf r          54     50  
134      2013  Subaru      WRX             52     54  
225      2016  Acura       TLX             52     54  
51       2015  Subaru      WRX             50     56  
5        2003  Acura       Rsx             50     56  
170      2014  Chevy       Cruze           50     56  
189      2012  Toyota      Fj cruiser      50     56  
88       2008  Honda       Accord          48     60  
104      2014  Honda       Civic si        48     60  
52       2007  Mazda       Speed 3         48     60  
211      2004  Acura       Tsx             48     60  
232      2018  Subaru      WRX             46     64  
8        1991  Nissan      Skyline         44     65  
140      1995  Mitsu       Evo8            44     65  
Showcar  2014  Nissan      Gtr             44     65  
121      2012  Acura       TL              44     65  
118      1993  Honda       Civic           44     65  
9        1996  Nissan      240             44     65  
122      2011  Infiniti    M37s            44     65  
85       2017  Honda       Accord          42     72  
153      2017  Subaru      Brz             42     72  
56       2009  Volkswagen  Jetta           42     72  
49       1997  Acura       Integra         42     72  
45       2006  Acura       TL              42     72  
222      2015  Lexus       Is250           40     77  
207      1993  Honda       Civic eG        40     77  
176      2014  Mitsu       Lancer          40     77  
44       2018  Honda       Civic si        40     77  
19       2001  Mitsu       Evo7            40     77  
66       2010  Volkswagen  Gti             4      82  
72       2016  Honda       Civic si        4      82  
174      2006  Acura       Rsx             4      82  
20       2009  Infiniti    G37             38     85  
99       2014  Honda       Civic si        38     85  
145      1990  Volkswagen  Gti             38     85  
179      2004  Volkswagen  R32             38     85  
18       2015  Audi        S3              38     85  
200      2016  Subaru      WRX             36     90  
162      2014  Nissan      370z            36     90  
78       2015  Mazda       6               36     90  
10       2001  Nissan      S15             34     93  
17       2016  Mercedes    C43             34     93  
4341     1992  Nissan      Rps13           32     95  
46       2008  Volkswagen  R32             32     95  
24       2013  Subaru      BRZ             32     95  
7        2014  Nissan      Sentra          30     98  
181      2003  Volkswagen  Gti             30     98  
120      2014  Ford        Focus st        30     98  
92       2017  Hyundai     Elantra sport   30     98  
11       1991  Nissan      Skyline         30     98  
59       2012  Volkswagen  Golf            28     103 
116      2008  Audi        A4              28     103 
238      1982  Volkswagen  Rabbit          28     103 
144      2016  Volkswagen  Gti             28     103 
14       1990  Nissan      Skyline         26     107 
98       2012  Mercedes    C63             26     107 
114      2010  Volkswagen  Gti             26     107 
219      2016  Ford        Focus rs        26     107 
141      1993  Mazda       Miata           26     107 
187      2007  Subaru      Legacy          26     107 
242      2014  Nissan      Maxima          26     107 
2        2016  Bmw         M2              24     114 
130      2016  Honda       Civic si        24     114 
241      2007  Toyota      Camry           24     114 
22       2007  Honda       Civic           24     114 
81       2016  Volkswagen  GTI             24     114 
163      2013  Mitsu       Ralliart        22     119 
93       2005  Acura       TL              22     119 
150      2006  Nissan      350z            22     119 
100      2006  Volvo       S60r            22     119 
172      2014  Bmw         4               22     119 
167      2016  Ford        Mystang         20     124 
230      2004  Acura       Tsx             20     124 
182      2012  Volkswagen  Cc              20     124 
235      2013  Scion       Frs             20     124 
197      2010  Audi        A4              2      128 
79       1993  Mazda       Miata           18     129 
226      2008  Honda       Accord          18     129 
34       2010  Honda       Fit             18     129 
183      2005  Volkswagen  Jetta           16     132 
89       2014  Honda       Civic si        16     132 
Vip      2008  Volkswagen  Gli             16     132 
159      2013  Hyundai     Gen coupe       14     135 
67       2015  Subaru      Sti             14     135 
108      2013  Audi        S4              14     135 
220      2004  Audi        A4              14     135 
186      2012  Volkswagen  Gli             14     135 
4        2007  Honda       Civic           14     135 
193      2014  Nissan      Ssntra          14     135 
128      2010  Infiniti    G37             128    142 
124      2015  Jeep        Wrangler        124    143 
15       2014  Audi        S4              120    144 
177      2005  Volkswagen  Jetta gli       12     145 
95       2004  Infiniti    G35             12     145 
76       2005  Subaru      Sti             12     145 
113      2012  Acura       Tsx sportwagon  116    148 
83       2014  Honda       Accord          112    149 
112      2008  Acura       TL              110    150 
65       2009  Honda       Fit             106    151 
50       2015  Acura       TLX             102    152 
31       2007  Honda       Fit             102    152 
91       2010  Mitsu       Lancer          102    152 
68       2013  Nissan      Altima          10     155 
102      2015  Honda       Accord          10     155 
111      2007  Bmw         328i            10     155 
243      2008  Toyota      Matrix          10     155 
16       2008  Nissan      350z            10     155 
96       2017  Volkswagen  Gti             10     155 
138      1990  Mazda       Miata           10     155 
94       2004  Volkswagen  Gti             10     155 
190      1995  Lexus       Sc300           10     155 
237      1987  Volkswagen  Jetta           10     155 
101      2014  Honda       Civic           0      165 
0        2015  Chevy       Camaro          0      165 
70       2014  Honda       Civic           0      165 
